繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項,nouki_copy,KI,SP_time_taken,SV_time_taken,slot,チケットNO,ライン,予定数量,備考,流速,生産日,順番
,,25126221000,15.0,,2024-04-30,,ｽﾃｲﾔ-SA,,,,,,,,,〇,,,,高,,,×,,2024-04-30,×,118.0,118.0,,,,12700.0,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,,,
,,25126221000,15.0,,2024-05-23,,ｽﾃｲﾔ-SA,,,,,,,,,〇,,,,高,,,×,,2024-05-23,×,118.0,118.0,,,,12700.0,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,,,
,,25126221000,15.0,,2024-06-08,,ｽﾃｲﾔ-SA,,,,,,,,,〇,,,,高,,,×,,2024-06-07,×,118.0,118.0,,,,12700.0,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,,,
,,25212521030,15.0,,2024-02-24,,ｼｮｰﾄﾆﾝｸﾞFJP DIR(3),,,,,,,,〇,,,,,,,,×,,2024-02-23,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25212521030,15.0,,2024-05-08,,ｼｮｰﾄﾆﾝｸﾞFJP DIR(3),,,,,,,,〇,,,,,,,,×,,2024-05-08,×,45.0,45.0,,,,6000.0,副原料無添,,,
,,25212521030,15.0,,2024-06-06,,ｼｮｰﾄﾆﾝｸﾞFJP DIR(3),,,,,,,,〇,,,,,,,,×,,2024-06-06,×,45.0,45.0,,,,6000.0,副原料無添,,,
,,25222522060,20.0,,2024-02-08,,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),,,,,,,,,,,〇,,,,,×,,2024-02-07,×,38.0,38.0,,,,5000.0,,,,
,,25222522060,20.0,,2024-04-11,,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),,,,,,,,,,,〇,,,,,×,,2024-04-10,×,38.0,38.0,,,,5000.0,,,,
,,25222522060,20.0,,2024-04-30,,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),,,,,,,,,,,〇,,,,,×,,2024-04-29,×,38.0,38.0,,,,5000.0,,,,
,,25222522060,20.0,,2024-05-15,,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),,,,,,,,,,,〇,,,,,×,,2024-05-14,×,57.0,57.0,,,,7500.0,,,,
